id,telegram_id,symbol,status,old_pnl_usdt,new_pnl_usdt,delta,db_order_id,open_order_id,close_order_id,opened_at,closed_at
738,8030312242,BNBUSDT,closed_sl,-0.758,-0.05076896,0.70723104,2044017571607175168,2044017571607175168,4873729552412928316,2026-04-14T11:39:02.743039+00:00,2026-04-15T08:46:44.40967+00:00
752,8030312242,XRPUSDT,closed_sl,-0.616,-0.03866196,0.57733804,2044018362992668672,2044018362992668672,9105904332181252154,2026-04-14T11:42:09.555309+00:00,2026-04-15T08:46:44.739852+00:00
737,1766523174,BNBUSDT,closed_sl,-0.756,-0.051269260000000004,0.70473074,2044017522621861888,2044017522621861888,2519020216414436982,2026-04-14T11:38:49.917922+00:00,2026-04-15T08:46:57.611037+00:00
776,1187119989,LINKUSDT,closed_sl,-11.3982,-0.168590616,11.229609384,2044061737204662272,2044061737204662272,4245209347058844927,2026-04-14T14:34:30.751767+00:00,2026-04-14T15:43:43.802653+00:00
777,7989568931,LINKUSDT,closed_sl,-69.273,-1.1170480680000001,68.155951932,2044061926690754560,2044061926690754560,1251017700224737922,2026-04-14T14:35:16.466106+00:00,2026-04-14T15:43:46.465116+00:00
771,1969755249,LINKUSDT,closed_sl,-51.2766,-2.4031508759999998,48.873449124000004,2044058874378297344,2044058874378297344,4019083535824382199,2026-04-14T14:23:08.195748+00:00,2026-04-14T15:43:53.089741+00:00
779,1969755249,ETHUSDT,closed_sl,-124.117,-0.79927596,123.31772404,2044064425829081088,2044064425829081088,1307867350393260641,2026-04-14T14:45:11.806376+00:00,2026-04-14T15:43:53.369957+00:00
778,8429733088,ETHUSDT,closed_sl,-42.804,-1.91445432,40.889545680000005,2044063468202278912,2044063468202278912,1260352549598649314,2026-04-14T14:41:23.512853+00:00,2026-04-14T15:44:02.343991+00:00
763,1187119989,DOGEUSDT,closed_sl,-6.897,-0.21926748799999998,6.677732512,2044023721828327424,2044023721828327424,8812054792309398470,2026-04-14T12:03:27.149064+00:00,2026-04-15T01:36:16.627715+00:00
764,1187119989,ATOMUSDT,closed_sl,-7.3626,-0.211017824,7.151582176,2044023960861724672,2044023960861724672,7717406765252692347,2026-04-14T12:04:24.17036+00:00,2026-04-15T01:36:17.272155+00:00
761,5874734020,DOGEUSDT,closed_sl,-11.87256,-0.32129905400000003,11.551260946,2044023706095599616,2044023706095599616,95534877443621614,2026-04-14T12:03:23.376945+00:00,2026-04-15T01:36:24.205256+00:00
757,2107355248,DOGEUSDT,closed_sl,-45.31,-1.372763768,43.937236232000004,2044023458963013632,2044023458963013632,575138118980478861,2026-04-14T12:02:25.066049+00:00,2026-04-15T01:36:25.941653+00:00
773,2107355248,ATOMUSDT,closed_sl,-65.82765,-2.7025784379999997,63.125071562,2044061021522132992,2044061021522132992,7761741592079358509,2026-04-14T14:31:40.203354+00:00,2026-04-15T01:36:26.34017+00:00
759,7675185179,DOGEUSDT,closed_sl,-47.613,-1.422013086,46.190986914,2044023477791145984,2044023477791145984,7395901899001831970,2026-04-14T12:02:29.365565+00:00,2026-04-15T01:36:40.332581+00:00
762,2107355248,BNBUSDT,closed_sl,-40.71,-1.2177722486956521,39.49222775130435,2044023712156352512,2044023712156352512,9214266288818041819,2026-04-14T12:03:25.220041+00:00,2026-04-15T08:47:01.187391+00:00
756,5874734020,BNBUSDT,closed_sl,-10.62,-0.33700008,10.28299992,2044023452000468992,2044023452000468992,4234593606301948788,2026-04-14T12:02:23.624888+00:00,2026-04-15T08:47:06.0942+00:00
736,282898946,ETHUSDT,closed_tp,0.0,1.151729196,1.151729196,2044003939984961536,2044003939984961536,6995769603316082099,2026-04-14T10:44:53.450838+00:00,2026-04-14T15:43:23.735341+00:00
774,282898946,LINKUSDT,closed_sl,-45.6372,-1.093503536,44.543696464,2044061057622507520,2044061057622507520,4516232283068577425,2026-04-14T14:31:49.170278+00:00,2026-04-14T15:43:24.078387+00:00
